id,country,city,title,logo,region,location
731,United States,Gainesville,University of Florida,https://www.topuniversities.com/sites/default/files/university-of-florida_212_small.jpg,North America,0101000020E61000006D567DAEB69654C0A2B437F8C2A43D40
732,United States,Medford,Tufts University,https://www.topuniversities.com/sites/default/files/tufts-university_630_small.jpg,North America,0101000020E6100000560E2DB29DC751C05C8FC2F528344540
733,United States,Chicago,University of Illinois at Chicago (UIC),https://www.topuniversities.com/sites/default/files/university-of-illinois-chicago-uic_592560cf2aeae70239af4b9a_small.jpg,North America,0101000020E61000000BB5A679C7E955C01DC9E53FA4EF4440
734,United States,Atlanta,Georgia Institute of Technology,https://www.topuniversities.com/sites/default/files/georgia-institute-of-technology_225_small.jpg,North America,0101000020E6100000E8D9ACFA5C1955C088635DDC46E34040
735,United States,Stony Brook,Stony Brook University, State University of New York",https://www.topuniversities.com/sites/default/files/stony-brook-university-state-university-of-new-york_592560cf2aeae70239af4ccb_small.jpg,North America,0101000020E6100000C139234A7B4752C069006F8104754440
736,United States,Charlottesville,University of Virginia,https://www.topuniversities.com/sites/default/files/university-of-virginia_656_small.jpg,North America,0101000020E6100000DC68006F81A053C0A3923A014D044340
737,United States,Cleveland,Case Western Reserve University,https://www.topuniversities.com/sites/default/files/case-western-reserve-university_102_small.jpg,North America,0101000020E6100000BBB88D06F06654C0B8AF03E78CC04440
738,United States,New Brunswick,Rutgers University–New Brunswick,https://www.topuniversities.com/sites/default/files/rutgers-university-new-brunswick_538_small.jpg,North America,0101000020E6100000BF0E9C33A29C52C01CEBE2361A404440
739,United States,Santa Barbara,University of California, Santa Barbara (UCSB)",https://www.topuniversities.com/sites/default/files/university-of-california-santa-barbara-ucsb_91_small.jpg,North America,0101000020E6100000C364AA6054F65DC03EE8D9ACFA344140
740,United States,University Park,Pennsylvania State University,https://www.topuniversities.com/sites/default/files/pennsylvania-state-university_494_small.jpg,North America,0101000020E61000002575029A087753C067D5E76A2B664440
741,United States,Washington D.C.,George Washington University,https://www.topuniversities.com/sites/default/files/george-washington-university_223_small.jpg,North America,0101000020E61000002CD49AE61D4353C0B3EA73B515734340
742,United States,Irvine,University of California, Irvine",https://www.topuniversities.com/sites/default/files/university-of-california-irvine_86_small.jpg,North America,0101000020E6100000D200DE0209765DC0448B6CE7FBD14040
744,United States,Miami,University of Miami,https://www.topuniversities.com/sites/default/files/university-of-miami_401_small.jpg,North America,0101000020E610000076711B0DE01154C062105839B4B83940
745,United States,Boston,Northeastern University,https://www.topuniversities.com/sites/default/files/northeastern-university_454_small.jpg,North America,0101000020E610000068B3EA73B5C551C02497FF907E2B4540
746,United States,Columbus,The Ohio State University,https://www.topuniversities.com/sites/default/files/the-ohio-state-university_465_small.jpg,North America,0101000020E6100000CBA145B6F3C154C07FFB3A70CE004440
