id,created_at,name,native_name
94,2025-02-13 05:07:15.83251+00,Lao,ພາສາລາວ
95,2025-02-13 05:07:15.83251+00,Lithuanian,lietuvių kalba
96,2025-02-13 05:07:15.83251+00,Luba-Katanga,
97,2025-02-13 05:07:15.83251+00,Latvian,latviešu valoda
98,2025-02-13 05:07:15.83251+00,Manx,"Gaelg, Gailck"
99,2025-02-13 05:07:15.83251+00,Macedonian,македонски јазик
100,2025-02-13 05:07:15.83251+00,Malagasy,Malagasy fiteny
101,2025-02-13 05:07:15.83251+00,Malay,"bahasa Melayu, بهاس ملايو‎"
102,2025-02-13 05:07:15.83251+00,Malayalam,മലയാളം
103,2025-02-13 05:07:15.83251+00,Maltese,Malti
104,2025-02-13 05:07:15.83251+00,Māori,te reo Māori
105,2025-02-13 05:07:15.83251+00,Marathi,मराठी
106,2025-02-13 05:07:15.83251+00,Marshallese,Kajin M̧ajeļ
107,2025-02-13 05:07:15.83251+00,Mongolian,монгол
108,2025-02-13 05:07:15.83251+00,Nauru,Ekakairũ Naoero
109,2025-02-13 05:07:15.83251+00,Navaho,"Diné bizaad, Dinékʼehǰí"
110,2025-02-13 05:07:15.83251+00,Norwegian Bokmål,Norsk bokmål
111,2025-02-13 05:07:15.83251+00,North Ndebele,isiNdebele
112,2025-02-13 05:07:15.83251+00,Nepali,नेपाली
113,2025-02-13 05:07:15.83251+00,Ndonga,Owambo
114,2025-02-13 05:07:15.83251+00,Norwegian Nynorsk,Norsk nynorsk
115,2025-02-13 05:07:15.83251+00,Norwegian,Norsk
116,2025-02-13 05:07:15.83251+00,Nuosu,ꆈꌠ꒿ Nuosuhxop
117,2025-02-13 05:07:15.83251+00,South Ndebele,isiNdebele
118,2025-02-13 05:07:15.83251+00,Occitan,Occitan
119,2025-02-13 05:07:15.83251+00,Ojibwe,ᐊᓂᔑᓈᐯᒧᐎᓐ
120,2025-02-13 05:07:15.83251+00,Old Church Slavonic,ѩзыкъ словѣньскъ
121,2025-02-13 05:07:15.83251+00,Oromo,Afaan Oromoo
122,2025-02-13 05:07:15.83251+00,Oriya,ଓଡ଼ିଆ
123,2025-02-13 05:07:15.83251+00,Ossetian,ирон æвзаг
124,2025-02-13 05:07:15.83251+00,Punjabi,"ਪੰਜਾਬੀ, پنجابی‎"
125,2025-02-13 05:07:15.83251+00,Pāli,पाऴि
126,2025-02-13 05:07:15.83251+00,Persian,فارسی
127,2025-02-13 05:07:15.83251+00,Polish,polski
128,2025-02-13 05:07:15.83251+00,Pushto,پښتو
129,2025-02-13 05:07:15.83251+00,Portuguese,Português
130,2025-02-13 05:07:15.83251+00,Quechua,"Runa Simi, Kichwa"
131,2025-02-13 05:07:15.83251+00,Romansh,rumantsch grischun
132,2025-02-13 05:07:15.83251+00,Kirundi,kiRundi
133,2025-02-13 05:07:15.83251+00,Romanian,română
134,2025-02-13 05:07:15.83251+00,Russian,русский язык
135,2025-02-13 05:07:15.83251+00,Sanskrit,संस्कृतम्
136,2025-02-13 05:07:15.83251+00,Sardinian,sardu
137,2025-02-13 05:07:15.83251+00,Sindhi,"सिन्धी, سنڌي، سندھی‎"
138,2025-02-13 05:07:15.83251+00,Northern Sami,Davvisámegiella
139,2025-02-13 05:07:15.83251+00,Samoan,gagana faa Samoa
140,2025-02-13 05:07:15.83251+00,Sango,yângâ tî sängö
141,2025-02-13 05:07:15.83251+00,Serbian,српски језик
142,2025-02-13 05:07:15.83251+00,Scottish Gaelic,Gàidhlig
143,2025-02-13 05:07:15.83251+00,Shona,chiShona
144,2025-02-13 05:07:15.83251+00,Sinhalese,සිංහල
145,2025-02-13 05:07:15.83251+00,Slovak,slovenčina
146,2025-02-13 05:07:15.83251+00,Slovene,slovenščina
147,2025-02-13 05:07:15.83251+00,Somali,"Soomaaliga, af Soomaali"
148,2025-02-13 05:07:15.83251+00,Southern Sotho,Sesotho
149,2025-02-13 05:07:15.83251+00,Spanish,"español, castellano"
150,2025-02-13 05:07:15.83251+00,Sundanese,Basa Sunda
151,2025-02-13 05:07:15.83251+00,Swahili,Kiswahili
152,2025-02-13 05:07:15.83251+00,Swati,SiSwati
153,2025-02-13 05:07:15.83251+00,Swedish,svenska
154,2025-02-13 05:07:15.83251+00,Tamil,தமிழ்
